nom,insee,POPULATION,departement,region,epci
Bézenet,03027,1000,03,84,200071512
Chaptelat,87038,2086,87,75,248719312
Semoussac,17424,323,17,75,200041523
Riom,63300,18987,63,84,200070753
Bellegarde-en-Diois,26047,81,26,84,242600534
Audenge,33019,7410,33,75,243301504
Fronsac,31199,207,31,76,200072635
Lison,14367,451,14,28,200066801
Feneu,49135,2235,49,52,244900015
Ablaincourt-Pressoir,80002,272,80,32,200070928
Pietralba,2B223,467,2B,94,200073104
Vraux,51656,465,51,44,200066876
Chauchailles,48044,95,48,76,200069144
Beauvoir-sur-Mer,85018,3947,85,52,200071629
Bourlon,62164,1194,62,32,200044048
Faux-la-Montagne,23077,389,23,75,200044014
Bégaar,40031,1134,40,75,244000766
Sainte-Croix-Volvestre,09257,634,09,76,200067940
Marcoux,42136,744,42,84,200065886
Verdilly,02781,462,02,32,200072031
Bouchemaine,49035,6644,49,52,244900015
Hénu,62430,166,62,32,200069482
Aboncourt-Gesincourt,70002,215,70,27,200036150
Peyssies,31416,560,31,76,200066819
Le Mesnil-Aubry,95395,925,95,11,200055655
Novy-Chevrières,08330,682,08,44,200043156
Villetrun,41291,322,41,24,200072072
Lessard-le-National,71257,611,71,27,247100589
Genech,59258,2667,59,32,200041960
Blyes,01047,1000,01,84,240100883
Chevrier,74074,489,74,84,247400690
Mont-lès-Seurre,71315,174,71,27,200040038
Agos-Vidalos,65004,430,65,76,200070811
Requeil,72252,1216,72,52,200073112
Montboucher,23133,352,23,75,200067189
Saint-Samson,14657,312,14,28,200065563
Chenou,77110,309,77,11,200023919
Autouillet,78036,469,78,11,247800618
Saint-Martin-le-Vieux,87166,913,87,75,248719288
Saint-Oulph,10356,268,10,44,200070126
La Chapelle-Cécelin,50121,238,50,28,200043354
Flammerans,21269,422,21,27,200070902
Belles-Forêts,57086,246,57,44,200068146
La Roche-Morey,70373,272,70,27,200036150
Lapleau,19106,396,19,75,241900133
Metzing,57466,624,57,44,245700372
Frépillon,95256,3310,95,11,200058485
Landébia,22096,492,22,53,200068989
Branches,89053,480,89,27,200067114
Lhospitalet,46172,470,46,76,200039519
Lapenche,82092,265,82,76,248200057
Méricourt-l'Abbé,80530,593,80,32,248000499
Saint-Pierre-des-Échaubrognes,79289,1398,79,75,200040244
La Croix-aux-Mines,88120,511,88,44,200071066
Amondans,25017,90,25,27,200068070
Val d'Oingt,69024,3951,69,84,200040574
Urval,24560,110,24,75,200034833
Morhange,57483,3484,57,44,200067502
Illartein,09141,74,09,76,200067940
Brusson,51094,195,51,44,200067379
Cases-de-Pène,66041,907,66,76,200027183
Perrigny-sur-Armançon,89296,128,89,27,200039642
La Laigne,17201,479,17,75,200041499
Bermeries,59070,376,59,32,200043321
Menetou-sur-Nahon,36115,119,36,24,243600202
Sept-Saulx,51530,604,51,44,200067213
Abbans-Dessous,25001,263,25,27,200068070
Sainte-Souline,16354,111,16,75,200029734
Châtenay,71116,160,71,27,200070548
Saint-Perdon,40280,1686,40,75,244000808
Gometz-la-Ville,91274,1468,91,11,249100074
Craonnelle,02235,116,02,32,240200592
Bazeilles,08053,2457,08,44,200041630
Coclois,10101,180,10,44,200071777
Ardelles,28008,197,28,24,200040277
La Rivière,38338,770,38,84,200070431
Duttlenheim,67112,2883,67,44,246701064
Granges-sur-Lot,47111,588,47,75,200068922
Carbes,81058,225,81,76,200034056
Villamée,35357,315,35,53,200072452
Saint-Sornin-la-Marche,87179,256,87,75,200071942
Marseillan,65301,243,65,76,200070803
Nibelle,45228,1155,45,24,200071850
Han-lès-Juvigny,55226,126,55,44,245501259
Cléty,62229,743,62,32,246201016
Saint-Pierre-du-Chemin,85264,1343,85,52,248500415
Senoncourt,70488,216,70,27,200041879
Vaux-sur-Aure,14732,348,14,28,241400555
Iville,27354,504,27,28,242700607
Beaugies-sous-Bois,60052,104,60,32,246000756
Fleurey,25244,84,25,27,200023075
Doméliers,60199,241,60,32,200068005
Esternay,51237,1945,51,44,200066835
Laroque,33231,285,33,75,200069581
Guébestroff,57265,46,57,44,245701206
Ols-et-Rinhodes,12175,162,12,76,200069383
Saint-Martin-de-Londres,34274,2685,34,76,200022986
Champagné,72054,3840,72,52,247200132
La Tagnière,71531,238,71,27,200070530
Balsièges,48016,538,48,76,244800405
Montsérié,65323,67,65,76,200070829
Les Olmes,69147,788,69,84,200040566
Argol,29001,1030,29,53,200066868
Sendets,64518,977,64,75,200067254
Saint-Bonnet-de-Bellac,87139,503,87,75,200071942
Abreschviller,57003,1470,57,44,200068146
La Coulonche,61124,492,61,28,200035814
Foucrainville,27259,73,27,28,200071454
Isturits,64277,500,64,75,200067106
La Thieuloye,62813,488,62,32,200069672
Landerrouet-sur-Ségur,33224,97,33,75,200069599
Montignac,33292,154,33,75,200069599
