code12,code18,commune,area
311,324,59080,5.12057051494778
311,324,59080,7.19001527535561
311,324,59080,9.49418695228044
312,324,59080,4.14745212932901
312,324,59080,2.48524660919973
311,324,59080,5.80354231349607
312,324,59444,7.94623531162294
312,324,59444,0.185961820364286
311,324,59444,4.83676340347179
313,324,59444,0.00033935260942735
142,112,59489,5.16671441438433
211,142,59489,5.58122685820418
141,121,59526,5.64610930511597
231,112,59526,5.99328127464375
311,324,59526,5.49818499368332
133,121,59526,5.98538896475554
231,121,59526,5.21736324867622
311,324,59526,11.1379330885669
211,121,62186,1.11676834753677
211,133,62186,35.5579743553984
311,324,59596,5.12664873017637
311,324,59596,2.89917343968752
311,324,59596,4.71356675227951
121,121,59100,0.239967921828156
312,324,59207,14.5858565032034
311,324,59207,0.458430821565028
313,324,59207,2.98111534992768
313,324,59207,14.4739387236627
311,324,59207,8.045473673382
231,211,62871,22.2845282826745
311,324,62871,5.25526843801031
211,121,62019,9.54916208013078
211,133,62019,2.67776044310451
133,112,62019,11.2333614256481
211,121,62737,1.16943101605623
211,121,62170,0.36358189409898
311,324,62540,10.4081177050695
231,121,59403,1.32895870530138
312,324,59375,2.34633492181067
312,324,59375,7.47957396558366
311,324,59375,10.2658110131993
311,324,59375,6.95623511609256
311,324,59375,5.43393537870663
311,324,59375,9.69413093700928
324,311,62356,36.5275729095635
133,112,62510,10.4076789419991
133,112,62510,6.11247152294144
211,133,62510,15.2823003519964
133,112,62510,5.51550681014701
312,324,62688,16.0681862538356
312,324,62688,6.29268595338661
211,133,62688,8.8036574310965
242,121,62624,6.50545502138484
311,131,62624,0.0264455446732393
211,121,62624,2.76038713874736
211,133,62624,13.6886030130898
211,121,62624,5.66263219568609
211,112,62624,1.21242581507727
324,311,59613,11.6475798160834
324,311,59613,0.0440857134645302
311,131,62321,7.77655400975861
211,133,62321,8.09611143987013
211,112,62427,6.80588312169292
133,142,62427,33.5282668388548
133,121,62427,18.7747907413685
312,324,59491,21.8925722233323
311,324,59491,0.0169536354173755
324,311,59491,21.669629484516
311,324,59491,21.2324535753109
311,324,59491,48.7957538667786
324,311,59491,5.05772713013438
311,324,59491,9.59809682061758
311,324,59491,9.34913304502647
313,324,59491,9.79442301994517
311,324,59491,5.01048973703255
311,324,59491,7.86113203031497
313,324,59491,5.6132417166093
311,324,59491,8.58160679993065
311,324,59491,5.18995378321009
311,324,59491,14.9035302656754
211,131,59239,6.56868520315264
311,324,59239,12.2761538931699
324,311,59160,25.1034813741651
311,324,59160,6.29462908065351
311,324,59160,23.4661829103179
311,324,59160,5.14208915194439
312,324,62108,0.1253832415322
324,311,62100,0.574279880139042
324,311,62552,9.56674517297201
211,122,62849,5.41690567830502
211,112,62249,18.7284771544784
211,121,62249,9.83934712021341
211,121,62249,6.27546679442935
311,324,59284,9.10697524955716
313,324,59284,4.3111214632138
311,324,59284,19.0028004713663
311,324,59284,8.96571282650557
311,324,59284,6.61219909315994
311,324,59284,0.101027854954157
311,324,59484,0.0117380712628838
211,112,62150,5.36583519006115
311,324,62150,5.55170023616302
211,121,59234,0.0843120511639058
133,112,59112,6.51690983417729
311,324,59112,9.92351792286307
311,324,59112,6.46984213061449
311,121,59112,9.70770849919539
231,121,59112,3.42570088627988
133,112,62032,5.80708166770081
133,121,62570,6.56213941522026
133,112,62570,0.350846840017594
133,112,59509,5.86292641521699
133,112,59028,0.0249241720672608
324,311,62461,6.08088143524761
311,324,62461,12.4498320596441
311,324,62461,12.5690588024552
311,324,62461,8.88617687021799
311,324,62461,12.8178209611359
324,311,62461,5.69165211430376
133,142,62724,10.9794821617893
211,112,62724,9.57668958960931
133,142,62277,6.73207772286354
133,112,62065,20.0742325127502
121,121,62065,21.1094473270463
211,121,62065,30.9912824680285
311,324,59297,0.272222212188104
311,324,59297,12.0310948805449
311,324,59297,0.00635109637410471
311,324,59544,6.73607308609285
231,121,59544,1.70234299902206
311,324,59447,26.3629199472805
133,231,59447,17.3417136184372
133,211,59447,8.38344700625417
311,324,59632,12.8013259151572
324,324,59632,15.4757407561877
311,324,59632,5.37257723967733
311,121,59632,5.66639749756452
211,121,59211,1.33398279883801
211,121,59334,48.3412545840495
311,324,62398,0.0050041425046759
311,324,59637,6.42052740890312
311,324,59637,8.23569548373273
121,121,62861,0.0637908574175122
211,121,62861,0.234607913309947
211,133,62861,7.50343046339137
211,121,59654,11.2138923606648
211,133,62870,0.792642855877751
