insee_com,siren_epci,usage_2021,surfaces_ha
01028,200069193,P_a,0.75
01028,200069193,P_h,76.00
01029,200071751,A_a,17.01363300
01029,200071751,A_h,67.66332300
01029,200071751,A_i,51.82304400
01029,200071751,C,597.25
01029,200071751,C_t,152.00
01029,200071751,C_ve,0.75
01029,200071751,F_f,183.00
01029,200071751,F_m,3.50
01029,200071751,H_a,17.75
01029,200071751,P_a,0.75
01029,200071751,P_h,327.25
01030,200042497,A_a,6.78035400
01030,200042497,A_h,12.96244350
01030,200042497,A_i,14.75723700
01030,200042497,C,20.25
01030,200042497,C_t,0.25
01030,200042497,F_f,28.00
01030,200042497,H_a,9.75
01030,200042497,P_h,4.50
01031,200042935,A_a,5.39900550
01031,200042935,A_h,66.75173325
01031,200042935,A_i,155.09926125
01031,200042935,C,38.75
01031,200042935,C_t,3.75
01031,200042935,F_c,345.50
01031,200042935,F_f,36.75
01031,200042935,F_m,114.50
01031,200042935,H_a,1.75
01031,200042935,P_a,3.00
01031,200042935,P_h,8.25
01031,200042935,P_m,2.50
01032,240100610,A_a,14.82513200
01032,240100610,A_h,173.89483300
01032,240100610,A_i,66.78003500
01032,240100610,C,558.00
01032,240100610,C_t,57.25
01032,240100610,F_f,197.25
01032,240100610,F_m,9.50
01032,240100610,H_a,0.25
01032,240100610,P_a,1.25
01032,240100610,P_h,250.75
01032,240100610,P_m,4.25
01033,240100891,A_a,57.90058400
01033,240100891,A_h,367.20685400
01033,240100891,A_i,533.89160300
01033,240100891,C,410.50
01033,240100891,C_t,237.50
01033,240100891,F_c,972.50
01033,240100891,F_f,1617.75
01033,240100891,F_m,1050.00
01033,240100891,H_a,56.50
01033,240100891,P_a,24.25
01033,240100891,P_h,901.25
01033,240100891,P_m,55.25
01034,200040350,A_a,44.13855000
01034,200040350,A_h,284.44980000
01034,200040350,A_i,286.41165000
01034,200040350,C,611.75
01034,200040350,C_t,122.75
01034,200040350,C_ve,0.0000000000000000000000
01034,200040350,C_vi,13.7500000000000000000000
01034,200040350,F_c,0.25
01034,200040350,F_f,529.25
01034,200040350,F_m,12.50
01034,200040350,F_p,6.00
01034,200040350,H_a,53.50
01034,200040350,P_a,2.25
01034,200040350,P_h,264.00
01034,200040350,P_m,22.00
01035,200042935,A_a,2.83783500
01035,200042935,A_h,28.58110500
01035,200042935,A_i,21.08106000
01035,200042935,C,72.50
01035,200042935,C_t,21.50
01035,200042935,F_c,145.00
01035,200042935,F_f,349.00
01035,200042935,F_m,856.50
01035,200042935,O,2.50
01035,200042935,P_a,11.25
01035,200042935,P_h,266.25
01035,200042935,P_m,6.25
01036,200040350,A_a,6.17859600
01036,200040350,A_h,46.44640400
01036,200040350,A_i,52.62500000
01036,200040350,C,235.00
01036,200040350,C_t,134.75
01036,200040350,C_ve,1.00
01036,200040350,F_c,205.25
01036,200040350,F_f,596.75
01036,200040350,F_m,347.75
01036,200040350,F_p,0.75
01036,200040350,H_a,2.50
01036,200040350,P_a,7.00
01036,200040350,P_h,322.50
01036,200040350,P_m,14.25
01037,240100883,A_a,1.94831125
01037,240100883,A_h,12.77234875
01037,240100883,A_i,24.02934000
01037,240100883,C,50.50
01037,240100883,C_t,16.75
01037,240100883,C_ve,0.0000000000000000000000
01037,240100883,C_vi,3.2500000000000000000000
01037,240100883,F_c,151.75
01037,240100883,F_f,876.75
01037,240100883,F_m,20.50
01037,240100883,P_a,7.75
01037,240100883,P_h,352.50
01037,240100883,P_m,17.25
01038,200071751,A_a,14.95785600
01038,200071751,A_h,58.38992175
01038,200071751,A_i,51.90209700
01038,200071751,C,857.25
01038,200071751,C_t,187.00
01038,200071751,F_c,8.00
01038,200071751,F_f,291.50
01038,200071751,F_m,35.00
01038,200071751,F_p,1.00
01038,200071751,H_a,4.50
01038,200071751,P_a,3.25
01038,200071751,P_h,315.00
01039,200040350,A_a,3.85833000
01039,200040350,A_h,22.12091625
01039,200040350,A_i,45.27075375
01039,200040350,C,94.25
01039,200040350,C_t,12.00
01039,200040350,C_vi,3.25
01039,200040350,F_f,615.50
01039,200040350,F_m,4.50
01039,200040350,F_p,39.25
01039,200040350,H_a,1.50
01039,200040350,H_n,112.50
01039,200040350,O,0.50
01039,200040350,P_a,6.00
01039,200040350,P_h,28.50
01039,200040350,P_m,32.25
01040,200071751,A_a,2.26598100
01040,200071751,A_h,42.29894875
01040,200071751,A_i,26.18507025
01040,200071751,C,487.50
01040,200071751,C_t,134.00
01040,200071751,F_c,0.25
01040,200071751,F_f,173.50
01040,200071751,F_m,4.25
01040,200071751,F_p,7.25
01040,200071751,H_a,0.75
01040,200071751,P_a,2.00
01040,200071751,P_h,244.50
01040,200071751,P_m,0.50
01041,240100883,A_a,1.11776700
01041,240100883,A_h,24.81491100
01041,240100883,A_i,20.56732200
01041,240100883,C,43.75
01041,240100883,C_t,4.00
01041,240100883,C_ve,0.100
01041,240100883,C_vi,0.400
01041,240100883,F_f,237.75
01041,240100883,F_m,6.75
01041,240100883,H_a,1.25
01041,240100883,P_a,1.75
01041,240100883,P_h,2.50
01041,240100883,P_m,0.75
01042,200070555,A_a,3.20301200
01042,200070555,A_h,22.65000000
01042,200070555,A_i,11.89698800
01042,200070555,C,176.00
01042,200070555,C_t,32.75
01042,200070555,F_f,16.75
01042,200070555,F_p,1.75
01042,200070555,P_h,12.75
01043,240100800,A_a,19.18913500
01043,240100800,A_h,153.79991375
01043,240100800,A_i,255.76052250
01043,240100800,C,444.25
01043,240100800,C_t,78.00
01043,240100800,F_f,90.25
01043,240100800,F_m,10.25
01043,240100800,H_a,8.75
01043,240100800,P_a,0.50
01043,240100800,P_h,7.00
01043,240100800,P_m,0.25
01044,240100891,A_a,1.30797975
01044,240100891,A_h,25.11338375
01044,240100891,A_i,24.32858575
01044,240100891,C,201.50
01044,240100891,C_t,82.75
01044,240100891,F_c,10.00
01044,240100891,F_f,547.25
01044,240100891,F_m,95.25
01044,240100891,H_a,11.75
01044,240100891,P_a,4.75
01044,240100891,P_h,390.50
01044,240100891,P_m,8.75
01045,200069193,A_a,9.37182875
01045,200069193,A_h,21.15354125
