siren,area
France,445461.8297
200069409,1596.165852
200069417,287.7375166
200069425,6485.097931
200069433,191.3200379
200069441,252.4693055
200069458,1936.131279
200069482,586.0369474
200069516,339.4405733
200069524,1542.823013
200069532,2635.981145
200069540,0.005011239
200069565,3.30055E-06
200069581,37.47839463
200069599,205.8517613
200069615,0.074139426
200069623,0
200069631,250.1776496
200069649,457.7900346
200069656,44.7976526
200069664,365.0424423
200069672,740.3117859
200069672,740.3117859
200069698,0.089858758
200069722,50.32192836
200069722,50.32192836
200069730,5.009207219
200069730,5.009207219
200069748,2377.134044
200069755,2668.533929
200069763,652.4053965
200069821,0
200069839,0
200069847,0
200069854,1477.632817
200069912,2.113726191
200069953,2.99103E-05
200069961,0.413190807
200069995,123.7718331
200070035,1257.354406
200070043,5755.279647
200070068,0.550609967
200070092,266.0647361
200070100,245.116896
200070118,0.364362148
200070126,58.87381465
200070142,84.29715816
200070159,0.235893015
200070167,4.110613224
200070183,114.683383
200070183,114.683383
200070233,1543.355693
200070282,7.02695E-05
200070290,96.16091731
200070290,96.16091731
200070308,0.756250459
200070308,0.756250459
200070316,4.814675263
200070324,236.1234063
200070332,566.1348586
200070332,566.1348586
200070340,51.8562621
200070365,0
200070365,0
200070373,825.9910491
200070407,1127.038041
200070431,342.9804521
200070449,0.351178147
200070464,19.79986248
200070506,0
200070514,8.28262E-06
200070530,6.194065011
200070548,2.036576605
200070555,3.33534E-05
200070563,199.3054905
200070571,198.5621531
200070589,207.642462
200070647,0.711538491
200070662,1037.509831
200070670,693.1467572
200070688,1368.479522
200070712,489.7285582
200070720,90.04800794
200070738,183.8014714
200070738,183.8014714
200070746,286.3379855
200070746,286.3379855
200070753,466.1157462
200070761,865.6791608
200070779,0
200070787,299.3972724
200070795,371.7747552
200070803,259.2605104
200070811,524.0415305
200070829,159.9044972
200070845,190.6790205
200070852,299.6876161
200070852,299.6876161
200070894,0.008481594
200070902,0.004126546
200070910,1.490947951
200070928,53.23975282
200070936,330.9148687
200070944,106.7568202
200070951,215.85642
200070969,99.4443544
200070977,76.13453087
200070985,47.04848081
200070993,200.369444
200071017,0.603645727
200071025,0.138685129
200071033,2.942644933
200071033,2.942644933
200071041,170.057833
200071058,0
200071066,329.6324268
200071066,329.6324268
200071074,0.439414908
200071082,1.54662313
200071116,0.064299883
200071140,133.2630528
200071140,133.2630528
200071157,171.0040852
200071165,645.2444458
200071173,1.383803258
200071181,350.53792
200071199,254.3028744
200071207,0.05764536
200071215,2288.21894
200071223,98.22666607
200071298,0.647223681
200071314,1.945896475
200071363,3.169541654
200071371,0.00046387
200071389,4.993081021
200071405,0.27191549
200071413,0.226596242
200071454,109.8957823
200071470,0.984329155
200071496,0
200071504,986.2434425
200071512,1.77714193
200071520,1505.166309
200071538,0.091126218
200071546,1360.668934
200071553,1554.513896
200071579,0.118501991
200071587,6.091670219
200071595,0.113394285
200071629,1130.475387
200071645,1.190571328
200071652,953.7101073
