siren,SURFACE,VOLUME (m3∙ha-1),STOCK_CARBONE (tC),carbonDensity,PRODUCTION (m3∙ha-1∙an-1),PRELEVEMENT (m3∙ha-1∙an-1),MORTALITE (m3∙ha-1∙an-1),TX_PRELEV,BILAN_M3 (m3∙ha-1∙an-1),BILAN_CARB (tC∙an-1),BILAN_CARB (tC∙ha-1∙an-1),BILAN_CO2 (tCO2∙an-1),BILAN_CO2_HA (tCO2∙ha-1∙an-1),Fexp (VOL -> CARB),
200035848,312,160.9455517,16313.18227,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,598.1860575,1.917263005,-2193.348878,-7.029964351,0.32486664,
200035855,8.5,174.4933166,440.2731694,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,8.674786282,1.020563092,-31.8075497,-3.742064671,0.296841418,
200035863,0.8,174.4933166,41.43747477,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,0.816450474,1.020563092,-2.993651737,-3.742064671,0.296841418,
200035970,79.3,169.9933561,4225.191682,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,79.97019806,1.008451426,-293.2240596,-3.697655228,0.313430518,
200036069,244.9,169.9933561,13048.54279,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,246.9697542,1.008451426,-905.5557653,-3.697655228,0.313430518,
200036077,9.9,174.4933166,512.7887503,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,10.10357461,1.020563092,-37.04644024,-3.742064671,0.296841418,
200036135,38.7,160.9455517,2023.462032,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,74.19807829,1.917263005,-272.0596204,-7.029964351,0.32486664,
200036150,165.4,168.5083947,8960.287131,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,174.275543,1.053661082,-639.0103245,-3.863423969,0.321488084,
200036465,16.2,168.5083947,877.6097432,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,17.06930954,1.053661082,-62.5874683,-3.863423969,0.321488084,
200036473,433.5,174.4933166,22453.93164,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,442.4141004,1.020563092,-1622.185035,-3.742064671,0.296841418,
200036499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200036523,496.7,174.4933166,25727.49215,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,506.9136878,1.020563092,-1858.683522,-3.742064671,0.296841418,
200036549,510.7,168.5083947,27666.37629,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,538.1047148,1.053661082,-1973.050621,-3.863423969,0.321488084,
200036572,68.1,174.4933166,3527.36504,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,69.50034656,1.020563092,-254.8346041,-3.742064671,0.296841418,
200037059,281.7,169.9933561,15009.28748,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,284.0807666,1.008451426,-1041.629478,-3.697655228,0.313430518,
