code,Commune,Nom unique,nom,nature,nombreCommunes,populationTotale
200040624,,,CC Pays d'Apt-Luberon,CC,25,30850
200040657,,,CC de la Matheysine,CC,44,19727
200040681,,,CC Enclave des Papes-Pays de Grignan,CC,19,23629
200040715,,,Métropole Grenoble-Alpes-Métropole,ME,49,452687
200040764,,,CC du Sud Corse,CC,7,21041
200040772,,,CC du Perche et Haut Vendômois,CC,23,9396
200040798,,,CC Val Vanoise,CC,9,9566
200040814,,,CC Briance Sud Haute Vienne,CC,11,9321
200040830,,,CC du Pays de Fénelon,CC,19,9952
200040889,,,CC de Portes Sud Périgord,CC,28,8821
200040905,,,CC Carmausin-Ségala,CC,32,30298
200040947,,,CC de Flandre Intérieure,CC,50,103916
200040954,,,CC des Hauts de Flandre,CC,40,54637
200041010,,,CC Coeur de Savoie,CC,43,37149
200041051,,,CC Vallée de la Dordogne et Forêt Bessède,CC,20,9318
200041150,,,CC du Terrassonnais en Périgord Noir Thenon Hautefort,CC,38,23349
200041168,,,CC de la Vallée de l'Homme,CC,28,16033
200041283,,,CC de la Plaine du Rhin,CC,19,18721
200041317,,,CA du Niortais,CA,42,124435
200041325,,,CC du Pays Rhénan,CC,18,36744
200041333,,,CC de Parthenay-Gâtine,CC,39,39021
200041366,,,CC Rhône Crussol,CC,13,34289
200041416,,,CC Airvaudais-Val du Thouet,CC,10,7099
200041440,,,CC de Domme - Villefranche du Périgord,CC,23,9018
200041465,,,CC Val Eyrieux,CC,31,13369
200041499,,,CC Aunis Atlantique,CC,20,29729
200041515,,,CC du Bassin de Pont-à-Mousson,CC,31,41327
200041523,,,CC de la Haute-Saintonge,CC,129,70034
200041556,,,CC Portes de la Creuse en Marche,CC,17,6800
200041572,,,CC Dronne et Belle,CC,22,11650
200041614,,,CC Aunis Sud,CC,25,31943
200041622,,,CC Ardennes Thiérache,CC,37,10217
200041630,,,CA Ardenne Métropole,CA,61,129082
200041689,,,CC Vals de Saintonge,CC,111,54457
200041721,,,CC de la Haute Comté,CC,38,18634
200041762,,,CA Rochefort Océan,CA,25,64952
200041853,,,CC du Pays de Montbozon et du Chanois,CC,27,6774
200041861,,,CC du Triangle Vert,CC,42,11331
200041879,,,CC Terres de Saône,CC,38,13707
200041887,,,CC du Val Marnaysien,CC,45,14301
200041960,,,CC Pévèle-Carembault,CC,38,95891
200041994,,,CC Haut Val de Sèvre,CC,19,30608
200042000,,,CC Bruyères-Vallons des Vosges,CC,34,15827
200042174,,,CA Lorient Agglomération,CA,25,207293
200042182,,,CC du Mont des Avaloirs,CC,26,16950
200042190,,,CA de la Porte du Hainaut,CA,46,159883
200042372,,,CC des Coteaux Arrats Gimone,CC,30,10735
200042414,,,CC Bresse Revermont 71,CC,17,10043
200042463,,,CC de la Montagne Noire,CC,23,6058
