Département,siren,Commune,Nom unique,EPCI_nom (==> données : tC.ha-1),nature,nb_com,poptot,cultures,prairies,forêts,zones humides,vergers,vignes,sols artificialisés,sols artificiels imperméabilisés,sols artificiels enherbés,sols artificiels arborés et buissonants,f_cult_for_%zpc,f_for_cult_%zpc,f_cult_prai_%zpc,f_prai_cult_%zpc,f_prai_for_%zpc,f_for_prai_%zpc,f_cult_zh_%zpc,f_zh_cult_%zpc,f_prai_zh_%zpc,f_zh_prai_%zpc,f_for_zh_%zpc,f_zh_for_%zpc,f_prai_verg_%zpc,f_verg_prai_%zpc,f_for_verg_%zpc,f_verg_for_%zpc,f_prairies_vign_%zpc,f_vign_prai_%zpc,f_for_vign_%zpc,f_vign_for_%zpc,f_for_art_ imp_%zpc,f_prai_art_imp_%zpc,f_cult_art_imp_%zpc,f_for_art_enh_%zpc,f_prai_art_enh_%zpc,f_cult_art_enh_%zpc,f_for_art_arb_%zpc,f_ prai_art_arb_%zpc,f_cult_art_arb_%zpc,
,200010700,,,CA Caux Seine Agglo,CA,50,78274,50.79168273,73.75009638,64.75009638,125,46,39,36.87504819,30,73.75009638,64.75009638,0.2047234,-0.348960341,0.449984908,-0.872419719,-0.18162,0.18162,74.20831727,-74.20831727,51.24990362,-51.24990362,60.24990362,-60.24990362,-1.054503663,0.543901889,-0.46875241,0.275001414,-1.320503663,0.681101889,-0.64375241,0.37766808,-34.75009638,-43.75009638,-20.79168273,9,0,22.95841365,0,-9,13.95841365,
,200011773,,,CA Annemasse-les Voirons-Agglomération,CA,12,90932,55,97,93,125,46,39,48.5,30,97,93,0.557333333,-0.95,0.8232,-1.596,-0.08072,0.08072,70,-70,28,-28,32,-32,-1.938,0.9996,-1.175,0.689333333,-2.204,1.1368,-1.35,0.792,-63,-67,-25,4,0,42,0,-4,38,
,200011781,,,CC Portes du Berry entre Loire et Val d'Aubois,CC,12,10086,49.99437763,69.27661933,60.36857594,125,46,39,34.63830967,30,69.27661933,60.36857594,0.152154909,-0.259354958,0.377931937,-0.732725185,-0.179764316,0.179764316,75.00562237,-75.00562237,55.72338067,-55.72338067,64.63142406,-64.63142406,-0.884511535,0.456221739,-0.359214398,0.210739114,-1.150511535,0.593421739,-0.534214398,0.31340578,-30.36857594,-39.27661933,-19.99437763,8.908043393,0,19.2822417,0,-8.908043393,10.37419831,
,200012060,,,CC Petite Montagne,CC,26,6882,54.72275566,95.82445917,91.38544119,125,46,39,47.91222959,30,95.82445917,91.38544119,0.537719388,-0.916567138,0.805593389,-1.561864733,-0.089579383,0.089579383,70.27724434,-70.27724434,29.17554083,-29.17554083,33.61455881,-33.61455881,-1.893329449,0.9765594,-1.13463603,0.665653137,-2.159329449,1.1137594,-1.30963603,0.768319804,-61.38544119,-65.82445917,-24.72275566,4.439017984,0,41.10170351,0,-4.439017984,36.66268553,
,200013050,,,CC Sauer-Pechelbronn,CC,24,17945,52.842238,91.82147724,81.41240167,125,46,39,45.91073862,30,91.82147724,81.41240167,0.419029067,-0.714254092,0.763993089,-1.481211091,-0.210055145,0.210055145,72.157762,-72.157762,33.17852276,-33.17852276,43.58759833,-43.58759833,-1.741216135,0.898100954,-0.885310042,0.519381891,-2.007216135,1.035300954,-1.060310042,0.622048558,-51.41240167,-61.82147724,-22.842238,10.40907557,0,38.97923924,0,-10.40907557,28.57016367,
,200015162,,,CC de l'Oriente,CC,22,6187,42.72921635,54.76789973,81.60739839,125,46,39,27.38394987,30,54.76789973,81.60739839,0.570213337,-0.971954551,0.235958194,-0.457469968,0.541621083,-0.541621083,82.27078365,-82.27078365,70.23210027,-70.23210027,43.39260161,-43.39260161,-0.33318019,0.171850835,-0.89018496,0.522241843,-0.59918019,0.309050835,-1.06518496,0.62490851,-51.60739839,-24.76789973,-12.72921635,-26.83949866,0,12.03868338,0,26.83949866,38.87818203,
,200016905,,,CC du Pays de Lamastre,CC,11,6814,51.67138129,87.2773644,77.2589909,125,46,39,43.6386822,30,87.2773644,77.2589909,0.375284941,-0.63969024,0.697877269,-1.353027358,-0.202170777,0.202170777,73.32861871,-73.32861871,37.7226356,-37.7226356,47.7410091,-47.7410091,-1.568539847,0.809036342,-0.781474772,0.4584652,-1.834539847,0.946236342,-0.956474772,0.561131866,-47.2589909,-57.2773644,-21.67138129,10.01837351,0,35.60598311,0,-10.01837351,25.5876096,
,200017341,,,CC Lodévois et Larzac,CC,28,14910,47.00600539,73.47619969,77.86962909,125,46,39,36.73809984,30,73.47619969,77.86962909,0.452666481,-0.771590593,0.518815808,-1.005867383,0.088659405,-0.088659405,77.99399461,-77.99399461,51.52380031,-51.52380031,47.13037091,-47.13037091,-1.044095588,0.538533514,-0.796740727,0.467421227,-1.310095588,0.675733514,-0.971740727,0.570087893,-47.86962909,-43.47619969,-17.00600539,-4.393429406,0,26.47019429,0,4.393429406,30.8636237,
,200017846,,,CA Étampois Sud-Essonne,CA,38,54360,43,55,83,125,46,39,27.5,30,55,83,0.586666667,-1,0.2352,-0.456,0.56504,-0.56504,82,-82,70,-70,42,-42,-0.342,0.1764,-0.925,0.542666667,-0.608,0.3136,-1.1,0.645333333,-53,-25,-13,-28,0,12,0,28,40,
,200018083,,,CC de Desvres-Samer,CC,31,23215,50.03512862,80.55185708,75.25333442,125,46,39,40.27592854,30,80.55185708,75.25333442,0.369867018,-0.630455145,0.598127878,-1.159635681,-0.106924187,0.106924187,74.96487138,-74.96487138,44.44814292,-44.44814292,49.74666558,-49.74666558,-1.312970569,0.677216399,-0.73133336,0.429048905,-1.578970569,0.814416399,-0.90633336,0.531715571,-45.25333442,-50.55185708,-20.03512862,5.298522665,0,30.51672846,0,-5.298522665,25.21820579,
