commune,epci
Bocognano,242000503
Villez-sous-Bailleul,200072312
Urbanya,200049211
Blaignac,200044394
Ampriani,200015162
Coulonces,200068450
Cruis,240400440
Pommier,200069482
Planchez,200067890
Saint-Avit,244000808
Avensac,200034726
Bessuéjouls,200067478
Pontgibaud,200071215
La Sabotterie,240800862
Wasserbourg,246800585
Chevillé,200040475
Saint-Gervais-en-Belin,247200447
Bésignan,200068229
Pébrac,200073393
Bleurville,200068773
Trévien,200040905
Mazeirat,200034825
Port-Brillet,245300306
Biviers,200018166
Escombres-et-le-Chesnois,240800847
Puybrun,200066371
Jusix,200030674
Moussy-le-Neuf,200055655
Myon,200068070
Perriers-en-Beauficel,200069425
Montbartier,200066652
Montigny-lès-Cormeilles,200058485
Ignol,200007177
Sainte-Suzanne,200065647
Authuille,248000747
Savigné-l'Évêque,200072684
Castelfranc,244600433
Lasserade,243200508
Calvinet,200066678
Buschwiller,200066058
La Roche-Posay,248600413
La Chapelle-sur-Oreuse,248900896
Saint-Hilaire-de-Briouze,246100390
Castries,243400017
Saint-Martin-Laguépie,200034064
Remaugies,200070977
Monieux,200035723
Béalencourt,200044030
Plélan-le-Petit,200068989
Vaudesincourt,200067213
Bordères,246401756
Lachapelle-sous-Aubenas,200073245
Garancières-en-Drouais,200040277
Laveline-du-Houx,200042000
Bosgouet,200066405
Levroux,243600293
Saint-Jean-de-Livet,200069532
Marquefave,200066819
Saizy,200067692
Moulins-sur-Céphons,243600293
Montigny-Mornay-Villeneuve-sur-Vingeanne,200072825
Liéramont,200037059
Die,242600534
Mousseaux-lès-Bray,200040251
Saint-Gilles,243500139
Beautot,200068534
Clamecy,200067429
Genestelle,200073245
Limans,240400440
Saint-Pierre-des-Landes,245300355
Montricher-Albanne,200070464
Cheverny,200030385
Laburgade,244600532
Burlats,200066561
Armentieux,243200508
Morsbronn-les-Bains,200013050
Hottot-les-Bagues,200069516
Saint-Guilhem-le-Désert,243400694
La Queue-les-Yvelines,247800618
Castellet-lès-Sausses,200068625
Orniac,244600573
Pontoux,200040038
Mauzé-sur-le-Mignon,200041317
Alaigne,200071926
Ladapeyre,200067544
Baron,200034379
Rivesaltes,200027183
Lecey,200072999
Garéoult,200068104
Banville,200069516
Châtillon-sur-Thouet,200041333
Cauro,200038958
Auribeau-sur-Siagne,200039857
Levens,200030195
Cours-de-Pile,200070647
Bonneville-la-Louvet,241400878
Prayssas,200068922
Les Mathes,241700640
Vincelottes,200067114
Rurey,200068070
Ferreux-Quincey,200006716
Rouvillers,246000566
Ponthévrard,200073344
Crissé,200072718
Pontpoint,246000921
Sartes,200068559
Grand-Champ,200067932
Longechenal,200059392
Saint-Étienne-des-Guérets,200030385
Le Clerjus,200068757
Fontenay-le-Fleury,247800584
Kaysersberg Vignoble,246800551
Brienne-la-Vieille,200040137
Neuville-Saint-Amand,200071892
Versigny,246000871
La Tour-Saint-Gelin,200072668
Villembits,200070795
Bugeat,200066744
Chaon,200000800
Guigneville,200066280
Saxon-Sion,200035772
Vernoy,248900748
Vallecalle,200073120
Flétrange,245700133
Lafraye,200067999
Insviller,245701206
Val d'Anast,200043990
Paray-le-Frésil,200071140
Berthegon,248600447
Eguenigue,200069052
Laqueuille,200069169
Saint-Sever,200069649
Braisnes-sur-Aronde,246000855
Campana,200073252
Rahay,200072692
Fraroz,200069623
La Tour-de-Sçay,242504447
Montoulieu,200067791
Mauvezin-de-Sainte-Croix,200067940
Jarnosse,200035202
Colmey,200043693
Montigny,200066728
Saint-Laurent-d'Olt,200068484
Gavray,200067023
Bourgneuf,200041010
Vauvert,243000593
Saint-Denis-de-Méré,200068799
Chantelle,200071389
Réquista,241200542
Mirabeau,200067437
Aspin-Aure,246500573
Saint-Nazaire-de-Valentane,200040418
Drumettaz-Clarafond,200068674
La Voivre,200071066
Rochefort-sur-Loire,200071553
Chermignac,200036473
Rocher,240700617
