siren,SUPERFICIE_EPCI,composition,PRELEVEMENT  Bois Fort Tige(m3/an),PRELEVEMENT VAT (m3/an),RECOLTE TOTALE (m3/an),recolteBo,recolteBi,RECOLTE TOTALE BE  (m3/an),RECOLTE TOTALE BE COMM  (m3/an),RECOLTE TOTALE BE AUTOCONSOM  (m3/an),PUITS PB (tco2/an),STOCKS PB (tCO2/m3),STOCKS BO,STOCKS BI,
200018083,24856.9,coniferes,518.634732695263,674.225152503842,544.566469330026,25.2533270456665,21.0444392047221,498.268703079637,129.423301109041,368.845401970596,-2.31250104012638,527.308542096049,376.81624504365,150.492297052399,
200018166,73109,coniferes,97871.5155329684,127232.970192859,102765.091309617,74146.9597942331,6235.39332821704,22382.7381871667,6009.47328009324,16373.2649070734,-4014.97286495785,1150970.45694181,1106380.11856976,44590.3383720496,
200018406,46590,coniferes,20704.4925271726,26915.8402853244,21739.7171535312,8341.6523112104,9198.67138427996,4199.39345804085,4199.39345804085,0,-876.111745232079,190250.778300319,124469.543980716,65781.2343196029,
200018521,28013.5,coniferes,111.207465050476,144.569704565619,116.767838303,44.8044793488515,49.4076792819527,22.5556796721958,22.5556796721958,0,-4.70575002793914,1021.87033808685,668.547777440958,353.322560645895,
200022986,57675.8,coniferes,3611.77590894132,4695.30868162372,3792.36470438839,1720.13397345006,806.312800054717,1265.91793088361,190.659380846272,1075.25855003733,-126.192066372202,31432.9696803758,25666.8922742476,5766.07740612817,
200023075,38536.1,coniferes,71168.8321494439,92519.4817942771,74727.2737569161,48867.2014525679,11383.0787733006,14476.9935310475,2590.09507244047,11886.8984586071,-3009.40729919248,810571.776411051,729169.480276781,81402.2961342693,
200023125,6746.7,coniferes,24.2039605296685,31.4651486885691,25.4141585561519,3.34797298344517,7.00030714720353,15.0658784255032,15.0658784255032,0,-0.516880413543566,100.016974664287,49.9566099091834,50.0603647551033,
200023240,20176.2,coniferes,8849.07675143585,11503.7997768666,9291.53058900764,1228.47693845259,2561.94776590777,5501.10588464728,5501.10588464728,0,-189.325787856568,36651.5727001175,18330.656639156,18320.9160609616,
200023299,27796.4,coniferes,6190.70859806203,8047.92117748064,6500.24402796513,4690.04918355122,394.409986185294,1415.78485822862,380.119769294523,1035.6650889341,-253.960786248453,72802.8238359591,69982.3321980488,2820.49163791028,
200023307,35601.7,coniferes,2482.21965108534,3226.88554641094,2606.33063363961,1325.08558130614,971.051979674962,310.193072658503,67.3720659820531,242.82100667645,-114.688481282776,26716.3524023388,19772.197627914,6944.15477442485,
200023372,34958.6,coniferes,10074.9579928753,13097.445390738,10578.7058925191,7632.73666662163,641.875478363062,2304.09374753443,618.619120451357,1685.47462708307,-413.303939728601,118481.65364133,113891.494967072,4590.15867425868,
200023414,66342.3,coniferes,20234.0983592955,26304.3278670842,21245.8032772603,8580.82928479638,6806.90784611252,5858.06614635138,5858.06614635138,0,-768.593411785162,176715.745196272,128038.411121453,48677.3340748187,
200023620,23804.9,coniferes,1457.65156843714,1894.94703896829,1530.534146859,900.870421740092,488.258014836233,141.405710282677,141.405710282677,0,-69.3847935789973,16933.9070874114,13442.2925334602,3491.6145539512,
200023620,23804.9,coniferes,1457.65156843714,1894.94703896829,1530.534146859,900.870421740092,488.258014836233,141.405710282677,141.405710282677,0,-69.3847935789973,16933.9070874114,13442.2925334602,3491.6145539512,
200023737,59435.8,coniferes,14282.3928465305,18567.1107004896,14996.512488857,8826.92787886668,4784.06014808804,1385.52446190226,1385.52446190226,0,-679.847571894816,165922.171447576,131710.558872931,34211.6125746444,
200023778,29314.8,coniferes,5992.58881974614,7790.36546566998,6292.21826073344,3398.03220784488,1945.08050518017,949.105547708397,949.105547708397,0,-266.880126344739,64613.1614245726,50703.5660997078,13909.5953248648,
200023794,21101.9,coniferes,2407.36976334574,3129.58069234947,2527.73825151303,1285.12839743534,941.77047284449,300.839381233194,65.3405005751253,235.498880658069,-111.230116933236,25910.7363573396,19175.9785253187,6734.75783202097,
200023919,32296.1,coniferes,2006.76917643953,2608.79992937138,2107.1076352615,281.178863465175,581.999839254731,1243.9289325416,1243.58681702092,0.342115520679923,-43.1144266671389,8357.57420664663,4195.59622084608,4161.97798580055,
200026573,37690.9,coniferes,109520.356538322,142376.463499818,114996.374365238,75220.3655599097,17490.6710681072,22285.3377372211,3992.74241990376,18292.5953173174,-4630.77133082385,1247475.59651688,1122396.88853037,125078.707986514,
200027027,35572.1,coniferes,8287.07331627112,10773.1953111525,8701.42698208468,6192.78924787975,1813.31499357205,695.322740632874,695.322740632874,0,-399.892389744875,105372.710388433,92405.3922286321,12967.3181598007,
200027076,37998.2,coniferes,2078.51364142346,2702.0677338505,2182.43932349463,837.414300210819,923.450015985903,421.575007297912,421.575007297912,0,-87.9524195768767,19099.180405879,12495.4352185228,6603.74518735617,
200027100,43071.3,coniferes,2114.12219365325,2748.35885174922,2219.82830333591,563.078398894963,1386.03913574145,270.710768699501,270.710768699501,0,-97.355373514104,18313.7431005098,8401.94591204172,9911.79718846809,
200027183,64656.8,coniferes,1241.28919632996,1613.67595522895,1303.35365614646,591.172811191809,277.11225524616,435.06858970849,65.5255020217484,369.543087686741,-43.3694815513297,10802.8312543495,8821.15526727883,1981.67598707062,
200027217,23428,coniferes,25006.0255831535,32507.8332580996,26256.3268623112,13348.9894544671,9782.43429654049,3124.90311130361,678.710123336788,2446.19298796682,-1155.37845161936,269142.092791554,199186.272456831,69955.8203347233,
200027308,76522.1,coniferes,28837.5837621261,37488.858890764,30279.4629502325,9102.22464094141,7411.06323849492,13766.1750707961,3547.6393633746,10218.5357074215,-824.812911935731,188816.135733513,135818.385614734,52997.7501187787,
200029734,62885.3,coniferes,25104.0727062332,32635.2945181032,26359.2763415449,11821.1582869858,9962.1858144356,4575.93224012353,4575.93224012353,0,-1088.04398077294,247630.070236404,176388.816796834,71241.2534395703,
200029999,17059.3,coniferes,8379.19095727645,10892.9482444594,8798.15050514027,6348.03223015479,533.838176576089,1916.28009840939,514.496213656665,1401.78388475273,-343.738667380017,98539.4084517927,94721.8425539486,3817.56589784406,
200030195,146337.7,coniferes,72587.8500626533,94364.2050814492,76217.2425657859,19333.1542118091,47589.3026752224,9294.78567875438,9294.78567875438,0,-3342.67209182633,628797.730924248,288478.684878627,340319.046045621,
200030385,79337.4,coniferes,5639.44106119262,7331.27337955041,5921.41311425225,2272.07967064607,2505.51251352066,1143.82093008552,1143.82093008552,0,-238.633260089356,51820.0602918707,33902.7221397262,17917.3381521446,
200030435,30227.5,coniferes,1678.49026030427,2182.03733839555,1762.41477331948,941.844950813492,626.027850484634,194.541972021356,83.5746785547551,110.967293466601,-78.3127951396001,18530.5215434975,14053.6919011534,4476.8296423441,
200030435,30227.5,coniferes,1678.49026030427,2182.03733839555,1762.41477331948,941.844950813492,626.027850484634,194.541972021356,83.5746785547551,110.967293466601,-78.3127951396001,18530.5215434975,14053.6919011534,4476.8296423441,
200030526,18573.5,coniferes,301.486105934816,391.931937715261,316.560411231557,184.612158840907,34.9008523428573,97.0474000477927,46.8205423506638,50.2268576971289,-10.9643317117803,3004.2628312869,2754.68101125985,249.581820027053,
200030526,18573.5,coniferes,301.486105934816,391.931937715261,316.560411231557,184.612158840907,34.9008523428573,97.0474000477927,46.8205423506638,50.2268576971289,-10.9643317117803,3004.2628312869,2754.68101125985,249.581820027053,
200030633,37337.6,coniferes,1496.81531048312,1945.85990362805,1571.65607600727,73.7100243814567,60.8163528083615,1437.12969881746,375.257428087937,1061.87227072952,-6.71938221583805,1534.76829799037,1099.86040885898,434.907889131384,
200030658,63606.8,coniferes,44884.7340845161,58350.1543098709,47128.9707887419,33987.5459925593,2879.96728307081,10261.4575131118,2758.28972633613,7503.16778677563,-1841.47464773319,527738.578972294,507143.452266907,20595.1267053878,
200030674,67151.3,coniferes,4010.21466669823,5213.2790667077,4210.72540003315,2140.77655475041,1568.80834027569,501.140505007045,108.844697530638,392.295807476407,-185.287965769039,43162.2995965292,31943.4893224083,11218.8102741209,
200032514,27802.9,coniferes,394.552874748375,512.918737172888,414.280518485794,159.072910786322,175.109569984698,80.0980377147735,79.930513260341,0.167524454432493,-16.6918924380831,3625.83617091373,2373.59841031131,1252.23776060242,
200033025,40065.3,coniferes,9378.89470121296,12192.5631115769,9847.83943627362,5633.2858620513,1954.20542932893,2260.34814489338,1729.70501644321,530.643128450176,-378.98332736775,98031.6398740357,84056.7906936408,13974.8491803949,
200033090,14478.3,coniferes,0,0,0,0,0,0,0,0,0,0,0,0,
200033116,20259.2,coniferes,17700.1171578789,23010.1523052426,18585.1230157729,13409.5182659798,1127.67429659062,4047.93045320246,1086.8165322214,2961.11392098107,-726.110040377582,208153.637165912,200089.450063089,8064.1871028234,
200033173,8490.8,coniferes,1151.3304397991,1496.72957173884,1208.89696178906,159.255887181792,332.989582289202,716.651492318066,716.651492318066,0,-24.5868916006205,4757.59276199688,2376.32868336198,2381.2640786349,
200033181,61434.7,coniferes,231.557106469389,301.024238410205,243.134961792858,93.2922586642767,102.877079759922,46.9656233686599,46.9656233686599,0,-9.79835175402343,2127.74689690919,1392.05572944679,735.691167462398,
200033207,26148.7,coniferes,3999.02607363789,5198.73389572925,4198.97737731978,1611.17134583098,1776.70264848485,811.103383003952,811.103383003952,0,-169.219009256342,36746.5090947956,24041.0119252835,12705.4971695121,
200033298,78915.1,coniferes,7161.3998444659,9309.81979780567,7519.46983668919,4060.79376655469,2324.45436292441,1134.2217072101,1134.2217072101,0,-318.933161073651,77215.4903489585,60592.9292501827,16622.5610987757,
200033579,30669.7,coniferes,451.77949609482,587.313344923266,474.368470899561,21.9980164230777,18.3316803525648,434.038774123919,112.739834168273,321.298939955645,-2.01440530062013,459.335197618984,328.242291875562,131.092905743422,
200033827,64972.9,coniferes,20401.6049754034,26522.0864680244,21421.6852241736,1739.63849350357,0,19682.04673067,652.364435063839,19029.6822956062,-86.8922229187919,25957.9279858847,25957.9279858847,0,
200033868,19423,coniferes,46928.4357451993,61006.9664687592,49274.8575324593,28207.9292781591,9756.57703063207,11310.3512236682,8630.70506980909,2679.64615385908,-1896.26773464966,490674.103855526,420903.19314487,69770.910710656,
200034023,26063.8,coniferes,2647.94595284548,3442.32973869913,2780.34325048776,1636.50644566761,886.96150872061,256.875296099543,256.875296099543,0,-126.043279014554,30761.8581209011,24419.0483389006,6342.80978200049,
200034023,26063.8,coniferes,2647.94595284548,3442.32973869913,2780.34325048776,1636.50644566761,886.96150872061,256.875296099543,256.875296099543,0,-126.043279014554,30761.8581209011,24419.0483389006,6342.80978200049,
200034031,34087.8,coniferes,10422.9819152581,13549.8764898356,10944.1310110211,6441.70137576527,3491.30379907889,1011.1258361769,1011.1258361769,0,-496.138078761305,121086.418145861,96119.5219829427,24966.8961629185,
200034049,33544.2,coniferes,5317.38351369943,6912.59856780926,5583.25268938441,3286.29532068231,1781.12189136217,515.835477339924,515.835477339924,0,-253.109567105925,61773.3896898709,49036.2897769751,12737.0999128958,
200034056,38257.6,coniferes,2608.60071240917,3391.18092613192,2739.03074802963,1612.18996008708,873.782344780022,253.058443162524,253.058443162524,0,-124.170429943416,30304.774507569,24056.2111264992,6248.56338106982,
200034064,25014.2,coniferes,2233.3551683368,2903.36171883785,2345.02292675364,1380.2774654523,748.089313336743,216.656147964602,216.656147964602,0,-106.308593012925,25945.4520769696,20595.7405418132,5349.71153515634,
200034098,35010.6,coniferes,12945.6367244843,16829.3277418295,13592.9185607085,9807.54819718454,824.76639318188,2960.60397034206,794.883552849204,2165.72041749286,-531.067490733785,152240.877593881,146342.835463412,5898.04213046989,
