siren,feuillus,coniferes,mixtes,peupleraies,total,jeune_peup,tx_boisement,,
200059228,4796.1,113.7,199.9,30.4,5181.2,41.1,0.2333527,,
200059392,20564.5,1160.1,636.5,52.9,22594.9,180.9,0.317786413,,
200059400,7506.1,157.6,267.2,31.6,8392.7,430.2,0.246978503,,
200059889,12619.3,146,387,30.6,13263.3,80.4,0.260868796,,
200060010,7617.5,426.4,253.5,420.9,8916.8,198.5,0.067609239,,
200065563,1604.6,16.3,127,225.5,2020.8,47.4,0.09445065,,
200065589,1039.6,4.1,85.2,177.2,1334.4,28.3,0.079911848,,
200065597,1275.1,3.7,36.2,78.3,1407.3,14,0.039143314,,
200065647,17932.6,1477.6,1863.3,19.6,21779.6,486.5,0.484014774,,
200065787,4219.219158,1421.081556,150.0369278,66.8986967,6142.95731,285.7209718,0.257971597,,
200065886,13049.7,21837,13273.6,64.8,48725.6,500.5,0.367846428,,
200065894,5984.7,1399.6,3056.9,69.2,10552.6,42.2,0.171704533,,
200065928,13119.8,1123.5,1193.2,489.9,16142.6,216.2,0.175639255,,
200066009,14348.4,399,976.5,35.9,15949.7,189.9,0.363308148,,
200066017,2754.4,134.5,93.4,84.2,3128.9,62.4,0.085248698,,
200066025,7997,223.9,221.4,119,8852.8,291.5,0.269503114,,
200066033,6859.7,127.8,509.1,19,7692.7,177.1,0.33424723,,
200066041,10739.6,1018.4,4152.5,48,16019.3,60.8,0.36966023,,
200066058,6465.4,40.5,320.5,30,6869.4,13,0.254824278,,
200066108,27917.7,1140.8,1966.7,109.9,31954.6,819.5,0.422880707,,
200066116,15183.2,3228.9,1016.5,75.3,19748.4,244.5,0.399643833,,
200066124,25816.1,929.7,1186.6,247.7,28351.7,171.6,0.236013009,,
200066132,14509.3,1031.2,773.7,22.1,16422.6,86.3,0.371192601,,
200066140,18536.4,843.9,1393.7,39.3,21128.9,315.6,0.318204888,,
200066157,26278.3,961.9,2505.4,69.3,29994.2,179.3,0.421468709,,
200066165,13235.3,922.1,1043.1,27.8,15456,227.7,0.440834208,,
200066173,14058.9,811.3,578.5,80.6,15725.1,195.8,0.317520348,,
200066223,11018,663,465.1,16,12198.1,36,0.317354723,,
200066231,6322.2,245.7,113.1,36.9,6799.1,81.2,0.162426301,,
200066280,5299.8,788.3,965.4,89.1,7223.1,80.5,0.147048585,,
200066322,7107.2,132.4,120.3,639,8129.8,130.9,0.180639341,,
200066330,14738,869.9,1231.6,423.8,17400.6,137.3,0.264802964,,
200066348,43580.9,9698.1,5821.4,0,59672.6,572.2,0.76099324,,
200066355,2681,1659.7,913.4,0,5384.2,130.1,0.144357814,,
200066363,34923.7,15833.7,7121.4,0,57894,15.2,0.510906649,,
200066371,53972.4,2372.3,2240.5,156.9,59302.5,560.4,0.458651914,,
200066389,3119.730735,188.5,127.6451174,147.7655816,3753.448878,169.8074439,0.046334319,,
200066405,6797.580842,802.9184436,209.5630722,31.4013033,8063.34269,221.8790282,0.158109513,,
200066405,6797.580842,802.9184436,209.5630722,31.4013033,8063.34269,221.8790282,0.158109513,,
200066413,15452.8,1972.2,1069.1,86.3,19137.4,557,0.206380549,,
200066462,19338.7,1339.8,710.7,64,21965.9,512.7,0.226697972,,
200066462,19338.7,1339.8,710.7,64,21965.9,512.7,0.226697972,,
200066512,22545.7,2929.8,1113.9,0.9,29342.8,2752.5,0.474574517,,
200066520,14445.2,560,515.1,0,16747,1226.7,0.396735525,,
200066553,26610.9,15405.7,5351.2,2.5,49453.9,2083.6,0.630373044,,
200066553,26610.9,15405.7,5351.2,2.5,49453.9,2083.6,0.630373044,,
200066561,16667.7,5558.6,4408.7,45.2,27279.5,599.3,0.57390172,,
200066587,4224.2,664.4,648.9,1,5538.5,0,0.170120683,,
200066603,4834.3,183,321.9,13.6,5485.5,132.7,0.214616874,,
200066637,16089.8,7046.3,4309.6,0.8,28065.3,618.8,0.280175861,,
200066645,11866.7,10237.1,4680.1,0,29718.5,2934.6,0.575556218,,
200066652,7077.1,312.8,154.3,952.9,8693,195.9,0.184008433,,
200066660,16034.4,13412.8,8775.5,0,38681.9,459.2,0.280007181,,
200066678,30331.2,5939.7,4720.7,5.7,41742.1,744.8,0.388862184,,
200066710,6142.4,664.1,351.9,62.2,7650.3,429.7,0.198519337,,
200066728,799.3,19.2,38.5,7.9,880.4,15.5,0.079007825,,
200066744,32627.1,34460.6,26763.2,9.2,104110.4,10250.3,0.569896175,,
200066744,32627.1,34460.6,26763.2,9.2,104110.4,10250.3,0.569896175,,
200066751,21305.5,4960.4,8995.8,22.9,35998.9,714.3,0.550481457,,
200066769,13434.1,1011.2,2107.1,21.4,16749,175.2,0.429167724,,
