type_localisation,code_localisation,nom_localisation,composition,surface_ic,surface_(ha),volume_(m3),volume_(m3∙ha-1),carbone_(tC),carbone_(tC∙ha-1),bois_mort_volume_(m3),bois_mort_volume_(m3∙ha-1),bois_mort_carbone_(tC),bois_mort_carbone_(tC∙ha-1),production_volume_(m3∙an-1),production_volume_(m3∙ha-1∙an-1),production_carbone_(tC∙an-1),production_carbone_(tC∙ha-1∙an-1),prelevement_volume_(m3∙an-1),prelevement_volume_(m3∙ha-1∙an-1),prelevements_carbone_(tC∙an-1),prelevement_carbone_(tC∙ha-1∙an-1),mortalite_volume_(m3∙an-1),mortalite_volume_(m3∙ha-1∙an-1),mortalite_carbone_(tC∙an-1),mortalite_carbone_(tC∙ha-1∙an-1),bilan_volume_(m3∙an-1),bilan_volume_(m3∙ha-1∙an-1),bilan_carbone_(tC∙an-1),bilan_carbone_(tC∙ha-1∙an-1),fexp_vol_carb
rad13,OCC,Occitanie,Conifere,s,455112.23,100965266.1,222.78,34332200.46,75.7,12677256.63,28.07,3181698.97,7.05,3052748.82,6.77,1000790.93,2.22,1678845.85,4.22,532685.78,1.34,223622.3,0.59,76040.46,0.2,1150280.67,1.96,392064.68,0.68,0.34
rad13,OCC,Occitanie,Feuillu,s,1784666.58,229339951.01,128.54,136188534.93,76.31,43813465.26,24.51,17589641.49,9.84,5687187.71,3.19,3217269.99,1.81,1179522.8,0.74,632576.07,0.4,1219461.6,0.76,724150.71,0.45,3288203.31,1.69,1860543.21,0.96,0.59
rad13,OCC,Occitanie,Mixte,s,220135.1,38354048.47,173.52,16587136.36,75.07,6284019.57,28.47,1992416.41,8.99,1105018.16,5.02,453743.38,2.06,527828.12,2.63,189372.64,0.94,235588.46,1.19,101885.93,0.51,341601.57,1.21,162484.82,0.61,0.43
rad13,PAC,Provence-Alpes-Cote d'Azur,Conifere,s,525570.87,68250907.45,129.64,26907764.41,51.1,10176874.93,19.32,2839118.77,5.39,1505638.85,2.86,588358.53,1.12,449419.19,0.87,170191.67,0.33,273677.64,0.53,107896.79,0.21,782542.02,1.47,310270.07,0.58,0.39
rad13,PAC,Provence-Alpes-Cote d'Azur,Feuillu,s,532806.32,35309880.17,65.81,23829923.03,44.48,6767501.22,12.63,2845093.85,5.32,808374.91,1.51,522743.8,0.98,124052.69,0.24,84840.8,0.16,256938.01,0.5,173402.26,0.34,427384.21,0.77,264500.74,0.48,0.67
rad13,PAC,Provence-Alpes-Cote d'Azur,Mixte,s,300252.69,30832072.83,102.19,15233701.49,50.47,5533688.4,18.61,1835222.25,6.19,729573.17,2.44,346388.45,1.16,129009.04,0.52,62771.6,0.25,87498.32,0.33,43231.71,0.16,513065.81,1.59,240385.14,0.74,0.49
rad13,PDL,Pays de la Loire,Conifere,s,65014.8,14796065,228.32,5492307.47,84.64,1203458.44,19.1,305729.37,4.82,678051.07,10.41,241538.87,3.7,518252.99,8.1,186904.03,2.92,23544.27,0.38,8739.65,0.14,136253.8,1.93,45895.19,0.64,0.37
rad13,PDL,Pays de la Loire,Feuillu,s,272533.44,52444889.45,192.91,27284004.37,100.34,5483718.14,20.08,1878887.85,6.86,1623767.21,5.97,827802.2,3.04,548459.09,2.16,274608.62,1.08,159858.72,0.63,83165.13,0.33,915449.4,3.17,470028.45,1.63,0.52
rad13,PDL,Pays de la Loire,Mixte,s,22051.79,5508509.29,250.87,2326209.8,107.16,523654.18,20.09,151140.68,5.9,210156.57,9.2,86195.89,3.79,168574.74,6.92,67174.37,2.79,18458.12,0.67,7794.75,0.28,23123.71,1.61,11226.77,0.72,0.42
rad13,ARA,Auvergne-Rhone-Alpes,total hors peupleraie hors indetermine,s,2302613.24,531311409.93,230.75,220626781.99,95.82,89015862.33,38.62,26715674.81,11.59,14187798.35,6.17,5589509.97,2.43,7558164.7,3.33,2656489.74,1.17,3565989.47,1.58,1480775.24,0.65,3063644.18,1.26,1452244.99,0.6,0.42
